_x_bin,_y_bin,Center_Lat,Center_Lon,n_records,Sources,Station_Names,Source_Names,Source_Files
-99232,49403,44.3797161336687,-125.95581831418319,30,bottle,Oregon Offshore Shallow Profiler - 250 m E,Oregon Offshore Shallow Profiler - 250 m E,bottle_data
-98801,49539,44.50188645346748,-125.40874447479335,5,bottle,"Slope Base Junction Box LJ01A, Slope Base Shallow Profiler","Slope Base Junction Box LJ01A, Slope Base Shallow Profiler",bottle_data
-98794,49550,44.51176787639238,-125.39985928482646,1,bottle,Slope Base Shallow Profiler,Slope Base Shallow Profiler,bottle_data
-98791,49554,44.51536112109235,-125.39605134626922,20,bottle,Slope Base Shallow Profiler,Slope Base Shallow Profiler,bottle_data
-98791,49565,44.525242544017246,-125.39605134626922,35,bottle,Slope Base Shallow Profiler - 500 m W,Slope Base Shallow Profiler - 500 m W,bottle_data
-98791,49569,44.52883578871721,-125.39605134626922,20,bottle,Slope Base Shallow Profiler - 500 m W,Slope Base Shallow Profiler - 500 m W,bottle_data
-98791,49570,44.5297340998922,-125.39605134626922,29,bottle,Slope Base Shallow Profiler - 500 m W,Slope Base Shallow Profiler - 500 m W,bottle_data
-98790,49563,44.52344592166727,-125.39478203341682,2,bottle,Slope Base Junction Box LJ01A - 250 m SW,Slope Base Junction Box LJ01A - 250 m SW,bottle_data
-98790,49566,44.52614085519224,-125.39478203341682,27,bottle,Slope Base Shallow Profiler - 500 m SW,Slope Base Shallow Profiler - 500 m SW,bottle_data
-98789,49569,44.52883578871721,-125.3935127205644,33,bottle,Slope Base Shallow Profiler - 250 m W,Slope Base Shallow Profiler - 250 m W,bottle_data
-98788,49569,44.52883578871721,-125.39224340771199,181,bottle,"Slope Base Shallow Profiler - 200 m W, Slope Base Shallow Profiler - 250 m W","Slope Base Shallow Profiler - 200 m W, Slope Base Shallow Profiler - 250 m W",bottle_data
-98788,49570,44.5297340998922,-125.39224340771199,33,bottle,Slope Base Shallow Profiler - 250 m W,Slope Base Shallow Profiler - 250 m W,bottle_data
-98788,49573,44.53242903341717,-125.39224340771199,25,bottle,Slope Base Shallow Profiler,Slope Base Shallow Profiler,bottle_data
-98787,49570,44.5297340998922,-125.39097409485957,1,bottle,Slope Base Shallow Profiler - 100 m W,Slope Base Shallow Profiler - 100 m W,bottle_data
-98786,49549,44.51086956521739,-125.38970478200716,39,bottle,Slope Base Junction Box LJ01A - 500 m S,Slope Base Junction Box LJ01A - 500 m S,bottle_data
-98786,49554,44.51536112109235,-125.38970478200716,17,"bottle, zarr","RS01SLBS, Slope Base Junction Box LJ01A, Slope Base Junction Box LJ01A - 250 m SW","RS01SLBS-LJ01A-12-CTDPFB101-streamed-ctdpf_optode_sample, Slope Base Junction Box LJ01A, Slope Base Junction Box LJ01A - 250 m SW","bottle_data, slope_base_seafloor_fixed_20150101_20260803_1h_qf49_HITL_phadv"
-98786,49569,44.52883578871721,-125.38970478200716,7,"bottle, zarr","RS01SBPS, Slope Base Shallow Profiler","RS01SBPS-PC01A-4A-CTDPFA103-streamed-ctdpf_optode_sample, RS01SBPS-SF01A-2A-CTDPFA102-streamed-ctdpf_sbe43_sample, Slope Base Shallow Profiler","bottle_data, slope_base_fixed_20150101_20260708_1h_qf49_HITL, slope_base_profiles_20150709_20260604_qf49_HITL, slope_base_profiles_20150709_20260604_qf49_HITL_binned_24h"
-98785,49553,44.514462809917354,-125.38843546915474,30,bottle,Slope Base Junction Box LV01A - 100 m SE,Slope Base Junction Box LV01A - 100 m SE,bottle_data
-98785,49564,44.52434423284225,-125.38843546915474,26,bottle,Slope Base Shallow Profiler,Slope Base Shallow Profiler,bottle_data
-98785,49569,44.52883578871721,-125.38843546915474,6,bottle,Slope Base Shallow Profiler - 200 m W,Slope Base Shallow Profiler - 200 m W,bottle_data
-98785,49578,44.53692058929213,-125.38843546915474,27,bottle,Slope Base Shallow Profiler - 250 m E,Slope Base Shallow Profiler - 250 m E,bottle_data
-98784,49570,44.5297340998922,-125.38716615630234,2,bottle,Slope Base Shallow Profiler - 200 m W,Slope Base Shallow Profiler - 200 m W,bottle_data
-98783,49578,44.53692058929213,-125.38589684344993,30,bottle,Slope Base Shallow Profiler - 250 m E,Slope Base Shallow Profiler - 250 m E,bottle_data
-98781,49572,44.53153072224219,-125.3833582177451,31,bottle,Slope Base Shallow Profiler,Slope Base Shallow Profiler,bottle_data
-98779,49566,44.52614085519224,-125.38081959204027,1,bottle,Slope Base Deep Profiler,Slope Base Deep Profiler,bottle_data
-98779,49567,44.52703916636723,-125.38081959204027,5,"bottle, zarr","Oregon Offshore Deep Profiler, RS01SBPD, Slope Base Deep Profiler","Oregon Offshore Deep Profiler, RS01SBPD-DP01A-01-CTDPFL104-recovered_inst-dpc_ctd_instrument_recovered, Slope Base Deep Profiler","bottle_data, slope_base_deep_profiles_20150722_20240217_qf49_HITL, slope_base_deep_profiles_20150722_20240217_qf49_HITL_binned_24h"
-98779,49568,44.527937477542224,-125.38081959204027,10,bottle,"Oregon Offshore Deep Profiler, Slope Base Deep Profiler","Oregon Offshore Deep Profiler, Slope Base Deep Profiler",bottle_data
-98779,49572,44.53153072224219,-125.38081959204027,22,bottle,Slope Base Deep Profiler,Slope Base Deep Profiler,bottle_data
-98779,49577,44.53602227811714,-125.38081959204027,38,bottle,Slope Base Shallow Profiler - 1300 m NE,Slope Base Shallow Profiler - 1300 m NE,bottle_data
-98778,49567,44.52703916636723,-125.37955027918785,4,bottle,Slope Base Deep Profiler,Slope Base Deep Profiler,bottle_data
-98778,49577,44.53602227811714,-125.37955027918785,1,bottle,Slope Base Shallow Profiler - 1300 m NE,Slope Base Shallow Profiler - 1300 m NE,bottle_data
-98777,49579,44.53781890046712,-125.37828096633545,20,bottle,Slope Base Shallow Profiler,Slope Base Shallow Profiler,bottle_data
-98775,49563,44.52344592166727,-125.37574234063062,25,bottle,Slope Base Deep Profiler,Slope Base Deep Profiler,bottle_data
-98775,49564,44.52434423284225,-125.37574234063062,21,bottle,Slope Base Deep Profiler,Slope Base Deep Profiler,bottle_data
-98774,49567,44.52703916636723,-125.37447302777821,14,bottle,Slope Base Deep Profiler - 500 m E,Slope Base Deep Profiler - 500 m E,bottle_data
-98772,49566,44.52614085519224,-125.37193440207338,34,bottle,Slope Base Deep Profiler - 750 m E,Slope Base Deep Profiler - 750 m E,bottle_data
-98595,49614,44.569259791591804,-125.14726602719635,25,bottle,Southern Hydrate Ridge,Southern Hydrate Ridge,bottle_data
-98595,49615,44.5701581027668,-125.14726602719635,1,bottle,Southern Hydrate Ridge,Southern Hydrate Ridge,bottle_data
-98595,49616,44.57105641394179,-125.14726602719635,1,bottle,Southern Hydrate Ridge - 100 m N of Einstein's Grotto,Southern Hydrate Ridge - 100 m N of Einstein's Grotto,bottle_data
-98594,49613,44.56836148041682,-125.14599671434394,3,bottle,Southern Hydrate Ridge - 90 m E of plume,Southern Hydrate Ridge - 90 m E of plume,bottle_data
-98594,49615,44.5701581027668,-125.14599671434394,1,bottle,Southern Hydrate Ridge,Southern Hydrate Ridge,bottle_data
