Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
AT50-29,Axial Base Deep Profiler,RS03AXPD,45.82633,-129.76333,2024-08-29T22:36:03.000Z,CTD-007,*0000000000000100,2581,AT50-29_CTD-007,*0000000000000100,3,*0000000000000100,2024-08-29T23:39:14.000Z,2434.557,*0000000001000100,2400.683,45.82639,-129.76326,1.8311,*0000000001000100,1.8314,*0000000001000100,3.135708,*0000000011000100,3.135599,*0000000011000100,34.6137,34.6121,1.6719,*0000000011000100,7.66338,0.0252,*0000000001000100,0.0121,99.6973,*0000000000000100,-9999999,*0000000001000100,1.438342057,-9999999,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,34.61951971,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Axial Base Deep Profiler,RS03AXPD,45.82633,-129.76333,2024-08-29T22:36:03.000Z,CTD-007,*0000000000000100,2581,AT50-29_CTD-007,*0000000000000100,3,*0000000000000100,2024-08-29T23:39:14.000Z,2434.557,*0000000001000100,2400.683,45.82639,-129.76326,1.8311,*0000000001000100,1.8314,*0000000001000100,3.135708,*0000000001000100,3.135599,*0000000001000100,34.6137,34.6121,1.6719,*0000000011000100,7.66338,0.0252,*0000000001000100,0.0121,99.6973,*0000000000000100,-9999999,*0000000001000100,1.441135024,-9999999,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Axial Base Junction Box LJ03A,"CTDPFB301,DOSTAD301",45.91659,-130.02529,2024-08-30T08:35:58.244Z,J2-1647,*0000000000000100,2606,AT50-29_J2-1647,*0000000000000100,Aft Starboard,*0000000000000100,2024-08-30T08:36:58.244Z,2647.987483,*0000000000000100,-9999999,-9999999,-9999999,1.8124375,*0000000000000100,-9999999,-9999999,3.138745167,*0000000010000100,-9999999,-9999999,34.5698575,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,0.002685831,0.016195561,1.108108108,-9999999,*0000000000000010,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,34.65822563,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Axial Base Junction Box LJ03A,"CTDPFB301,DOSTAD301",45.91659,-130.02529,2024-08-30T08:35:58.244Z,J2-1647,*0000000000000100,2606,AT50-29_J2-1647,*0000000000000100,Aft Starboard,*0000000000000100,2024-08-30T08:36:58.244Z,2647.987483,*0000000000000100,-9999999,-9999999,-9999999,1.8124375,*0000000000000100,-9999999,-9999999,3.138745167,*0000000000000100,-9999999,-9999999,34.5698575,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,0.002685831,0.016195561,1.108108108,*0000000010000000,*0000000000000010,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Axial Base Junction Box LJ03A,"CTDPFB301,DOSTAD301",45.91659,-130.02529,2024-08-30T08:34:50.935Z,J2-1647,*0000000000000100,2606,AT50-29_J2-1647,*0000000000000100,Forward Starboard,*0000000000000100,2024-08-30T08:35:50.935Z,2647.999608,*0000000000000100,-9999999,-9999999,-9999999,1.812443333,*0000000000000100,-9999999,-9999999,3.13874525,*0000000000000100,-9999999,-9999999,34.56984667,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1.67531244,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Axial Base Junction Box LJ03A,"CTDPFB301,DOSTAD301",45.91659,-130.02529,2024-08-30T08:34:50.935Z,J2-1647,*0000000000000100,2606,AT50-29_J2-1647,*0000000000000100,Forward Starboard,*0000000000000100,2024-08-30T08:35:50.935Z,2647.999608,*0000000000000100,-9999999,-9999999,-9999999,1.812443333,*0000000000000100,-9999999,-9999999,3.13874525,*0000000000000100,-9999999,-9999999,34.56984667,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1.622530321,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Axial Base Shallow Profiler,RS03AXPS,45.91659,-130.02519,2024-08-12T00:04:00.243Z,J2-1612,*0010000000000000,2600,AT50-29_J2-1612,*0000000000000100,Aft Starboard,*0000000000000100,2024-08-12T00:05:00.243Z,191.8972917,*0000000000000100,-9999999,-9999999,-9999999,6.7933325,*0000000000000100,-9999999,-9999999,3.398976833,*0000000010000100,-9999999,-9999999,33.68456,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1.826403735,37.21961349,26.17426783,-0.000256039,0.091616712,-9999999,*0000000000000100,33.72335564,-9999999,*0000000000000100,-9999999,-9999999,-9999999,2203.25,-9999999,*0000000000000100,585.74,22.3,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2302.34,-9999999,-9999999,7.884,28.88,2089.91,84.47,1.891,1.224
AT50-29,Axial Base Shallow Profiler,RS03AXPS,45.91659,-130.02519,2024-08-12T00:03:24.595Z,J2-1612,*0010000000000000,2600,AT50-29_J2-1612,*0000000000000100,Forward Starboard,*0000000000000100,2024-08-12T00:04:24.595Z,191.9263917,*0000000000000100,-9999999,-9999999,-9999999,6.798735833,*0000000000000100,-9999999,-9999999,3.399409917,*0000000000000100,-9999999,-9999999,33.68401417,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,4.436568518,-9999999,*0000000000001000,0.004700204,0.026938884,1.112903226,-9999999,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Axial Base Shallow Profiler,RS03AXPS,45.91659,-130.02519,2024-08-12T00:03:24.595Z,J2-1612,*0010000000000000,2600,AT50-29_J2-1612,*0000000000000100,Forward Starboard,*0000000000000100,2024-08-12T00:04:24.595Z,191.9263917,*0000000000000100,-9999999,-9999999,-9999999,6.798735833,*0000000000000100,-9999999,-9999999,3.399409917,*0000000000000100,-9999999,-9999999,33.68401417,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,4.462452957,-9999999,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-29,Axial Base Shallow Profiler,RS03AXPS,45.91665,-130.02502,2024-08-30T13:13:40.525Z,J2-1648,*0010000000000000,2581,AT50-29_J2-1648,*0000000000000100,Aft Starboard,*0000000000000100,2024-08-30T13:14:40.525Z,189.1631833,*0000000000000100,-9999999,-9999999,-9999999,7.205089167,*0000000000000100,-9999999,-9999999,3.440379417,*0000000010000100,-9999999,-9999999,33.73661167,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1.947408375,38.9275785,28.42434499,0.004200758,0.028468289,-9999999,*0000000000000100,33.78616811,-9999999,*0000000000000100,-9999999,-9999999,-9999999,2226.48,-9999999,*0000000000000100,754.1,21.6,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2294.43,-9999999,-9999999,7.782,36.64,2120.9,68.94,1.543,0.999
