file,path,date_start,date_end,longitude_min,longitude_max,latitude_min,latitude_max,n_in_realm_points,longitude_variable,latitude_variable,time_variable
osu033-20070521T2053-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20070521T2053-delayed_oxy.nc,2007-05-21T21:06:14.000003187+00:00,2007-06-08T16:43:45.000001113+00:00,-125.1124877086768,-124.09093499999999,44.55699816442047,44.85276881403954,292730,lon,lat,time
osu033-20070613T1503-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20070613T1503-delayed_oxy.nc,2007-06-13T15:04:06.999998021+00:00,2007-07-02T15:01:45.999998379+00:00,-125.14895267147068,-124.10964891238538,44.58097318148343,44.85534767418895,315373,lon,lat,time
osu033-20070725T1623-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20070725T1623-delayed_oxy.nc,2007-07-25T16:24:20.999998074+00:00,2007-08-14T15:17:33.000001607+00:00,-125.15204752495555,-124.10296000000001,44.554437148909145,44.83906798042198,332151,lon,lat,time
osu033-20070814T2154-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20070814T2154-delayed_oxy.nc,2007-08-14T21:55:47.000001+00:00,2007-08-16T14:58:56.999999729+00:00,-124.18450263877898,-124.09613333333334,44.5577243925675,44.65214979826437,28772,lon,lat,time
osu033-20070914T1634-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20070914T1634-delayed_oxy.nc,2007-09-14T16:35:00.000002235+00:00,2007-09-28T15:56:11.000001580+00:00,-125.11735002612139,-124.099375,44.64690433685007,44.73648794969571,231099,lon,lat,time
osu033-20071005T1600-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20071005T1600-delayed_oxy.nc,2007-10-05T16:01:35.999998973+00:00,2007-10-12T19:09:34.000001323+00:00,-125.16190372179797,-124.08171472407683,44.65469499999999,44.89394880751433,364972,lon,lat,time
osu033-20071030T1842-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20071030T1842-delayed_oxy.nc,2007-10-30T18:43:01.999996305+00:00,2007-11-08T19:33:40.000003655+00:00,-125.10193886614452,-124.09977692437504,44.63799893262293,44.729526884262256,472105,lon,lat,time
osu033-20080318T2039-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20080318T2039-delayed_oxy.nc,2008-03-18T20:40:42.000004646+00:00,2008-03-21T20:06:04.000000432+00:00,-124.58647166666667,-124.10805,44.647830000000006,44.70055277348511,43320,lon,lat,time
osu033-20080912T1731-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20080912T1731-delayed_oxy.nc,2008-09-12T17:33:10.999996663+00:00,2008-09-23T18:33:26.999997048+00:00,-125.17905374069139,-124.09161486948166,44.665352528738005,45.002975184274916,184656,lon,lat,time
osu033-20081001T1726-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20081001T1726-delayed_oxy.nc,2008-10-01T17:35:29.000002519+00:00,2008-10-16T15:04:52.999999973+00:00,-125.11489684377028,-124.09837279987592,44.60929548368587,44.809697495875085,184981,lon,lat,time
osu033-20081203T1913-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20081203T1913-delayed_oxy.nc,2008-12-03T19:14:25.000002087+00:00,2008-12-05T20:38:34.999999480+00:00,-124.61953499999998,-124.11767166666665,44.65480166666666,44.700673428039714,34583,lon,lat,time
osu033-20090319T1938-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20090319T1938-delayed_oxy.nc,2009-03-19T19:39:44.999995305+00:00,2009-04-09T18:19:02.000001668+00:00,-125.14391931401616,-124.10551056137625,44.45338888998677,44.821697585953444,345237,lon,lat,time
osu033-20090424T1810-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20090424T1810-delayed_oxy.nc,2009-04-24T18:11:57.999998109+00:00,2009-05-15T16:40:43.999997157+00:00,-125.12780320963292,-124.1028769446835,44.43702704327542,44.93662782725126,342186,lon,lat,time
osu033-20090518T1713-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20090518T1713-delayed_oxy.nc,2009-05-18T17:14:43.000001681+00:00,2009-05-23T07:02:20.999996292+00:00,-125.12929667794123,-124.10371959150889,44.63648080486046,44.84311166666666,76020,lon,lat,time
osu033-20090720T2122-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20090720T2122-delayed_oxy.nc,2009-07-20T22:07:13.999996257+00:00,2009-08-05T00:35:51.000000532+00:00,-124.97079271562416,-124.11124653936164,44.59071198729786,44.865836258763174,246945,lon,lat,time
osu033-20090827T1700-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20090827T1700-delayed_oxy.nc,2009-08-27T17:02:06.999998467+00:00,2009-09-15T18:07:32.000002559+00:00,-125.09534526555626,-124.09082102341202,44.56878427684938,44.910187499882134,306889,lon,lat,time
