_x_bin,_y_bin,Center_Lat,Center_Lon,n_records,Sources,Station_Names,Source_Names,Source_Files
-409751,204457,45.91661426518146,-130.02539398312462,4,bottle,Axial Base Junction Box LJ03A,Axial Base Junction Box LJ03A,bottle_data
-409751,204460,45.9172879985627,-130.02539398312462,1,bottle,Axial Eastern Caldera,Axial Eastern Caldera,bottle_data
-409750,204457,45.91661426518146,-130.02507665491152,7,bottle,"Axial Base Shallow Profiler, Axial Seamount International District 2","Axial Base Shallow Profiler, Axial Seamount International District 2",bottle_data
-409749,204459,45.917063420768955,-130.02475932669842,1,bottle,Axial Central Caldera,Axial Central Caldera,bottle_data
-409747,204458,45.91683884297521,-130.0241246702722,1,bottle,Axial ASHES Vent Field,Axial ASHES Vent Field,bottle_data
-409716,204532,45.93345759971254,-130.014287495666,1,bottle,Axial ASHS Vent Field,Axial ASHS Vent Field,bottle_data
-409715,204533,45.93368217750629,-130.0139701674529,1,bottle,Axial ASHS Vent Field,Axial ASHS Vent Field,bottle_data
-409699,204626,45.954567912324826,-130.00889291604324,1,bottle,Axial Central Caldera,Axial Central Caldera,bottle_data
-409699,204627,45.95479249011858,-130.00889291604324,4,bottle,Axial Central Caldera,Axial Central Caldera,bottle_data
-409605,204501,45.92649568810636,-129.97906406401154,1,bottle,Axial Seamount International District 1,Axial Seamount International District 1,bottle_data
-409589,204561,45.93997035573123,-129.9739868126019,2,bottle,Axial Eastern Caldera,Axial Eastern Caldera,bottle_data
-408930,204091,45.83441879266978,-129.76486752016692,1,bottle,Axial Base Deep Profiler - 500 m N,Axial Base Deep Profiler - 500 m N,bottle_data
-408926,204055,45.82633399209486,-129.76359820731452,1,bottle,Axial Base Deep Profiler - 500 m SW,Axial Base Deep Profiler - 500 m SW,bottle_data
-408925,204055,45.82633399209486,-129.76328087910142,21,bottle,Axial Base Deep Profiler,Axial Base Deep Profiler,bottle_data
-408914,204048,45.824761947538626,-129.75979026875726,21,bottle,Axial Base Deep Profiler,Axial Base Deep Profiler,bottle_data
-408913,204070,45.82970265900108,-129.75947294054416,2,zarr,RS03AXPD,RS03AXPD-DP03A-01-CTDPFL304-recovered_inst-dpc_ctd_instrument_recovered,"axial_base_deep_profiles_20170823_20250807_qf49_HITL, axial_base_deep_profiles_20170823_20250807_qf49_HITL_binned_24h"
-408912,204069,45.82947808120733,-129.75915561233106,2,bottle,Axial Base Deep Profiler,Axial Base Deep Profiler,bottle_data
-408912,204070,45.82970265900108,-129.75915561233106,6,bottle,"Axial Base Deep Profiler, Axial Base Deep Profiler - 500 m N","Axial Base Deep Profiler, Axial Base Deep Profiler - 500 m N",bottle_data
-408912,204090,45.834194214876035,-129.75915561233106,20,bottle,Axial Base Deep Profiler - 500 m N,Axial Base Deep Profiler - 500 m N,bottle_data
-408912,204092,45.83464337046353,-129.75915561233106,21,bottle,Axial Base Deep Profiler,Axial Base Deep Profiler,bottle_data
-408912,204124,45.84182985986346,-129.75915561233106,30,bottle,Axial Base Shallow Profiler - 250 m NW,Axial Base Shallow Profiler - 250 m NW,bottle_data
-408909,204091,45.83441879266978,-129.75820362769176,21,bottle,Axial Base Deep Profiler,Axial Base Deep Profiler,bottle_data
-408906,204086,45.83329590370104,-129.75725164305246,31,bottle,Axial Base Shallow Profiler - 500 m NW,Axial Base Shallow Profiler - 500 m NW,bottle_data
-408904,204040,45.82296532518865,-129.75661698662623,1,bottle,Axial Base Shallow Profiler - 900 m SSW,Axial Base Shallow Profiler - 900 m SSW,bottle_data
-408904,204073,45.83037639238232,-129.75661698662623,97,bottle,Axial Base Shallow Profiler - 250 m W,Axial Base Shallow Profiler - 250 m W,bottle_data
-408902,204073,45.83037639238232,-129.75598233020003,1,bottle,Axial Base Shallow Profiler - 200 m W,Axial Base Shallow Profiler - 200 m W,bottle_data
-408900,204073,45.83037639238232,-129.75534767377383,98,bottle,Axial Base Shallow Profiler - 150 m W,Axial Base Shallow Profiler - 150 m W,bottle_data
-408897,204013,45.81690172475746,-129.75439568913453,3,bottle,Axial Base Junction Box LJ03A,Axial Base Junction Box LJ03A,bottle_data
-408896,204012,45.816677146963706,-129.75407836092143,3,bottle,Axial Base Junction Box LJ03A,Axial Base Junction Box LJ03A,bottle_data
-408896,204013,45.81690172475746,-129.75407836092143,7,"bottle, zarr","Axial Base Junction Box LJ03A, RS03AXBS","Axial Base Junction Box LJ03A, RS03AXBS-LJ03A-12-CTDPFB301-streamed-ctdpf_optode_sample","axial_base_seafloor_fixed_20150101_20260803_1h_qf49_HITL_phadv, bottle_data"
-408893,204073,45.83037639238232,-129.7531263762821,11,"bottle, zarr","Axial Base Shallow Profiler, RS03AXPS","Axial Base Shallow Profiler, RS03AXPS-PC03A-4A-CTDPFA303-streamed-ctdpf_optode_sample, RS03AXPS-SF03A-2A-CTDPFA302-streamed-ctdpf_sbe43_sample","axial_base_fixed_20150101_20260708_1h_qf49_HITL, axial_base_profiles_20150107_20260604_qf49_HITL, axial_base_profiles_20150107_20260604_qf49_HITL_binned_24h, bottle_data"
-408893,204074,45.83060097017607,-129.7531263762821,1,bottle,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E","Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",bottle_data
