_x_bin,_y_bin,Center_Lat,Center_Lon,n_records,Sources,Station_Names,Source_Names,Source_Files
-20446,10206,45.84306504,-129.7586796,30,bottle,Axial Base Shallow Profiler - 250 m NW,Axial Base Shallow Profiler - 250 m NW,bottle_data
-20445,10200,45.8161157,-129.7523331,13,"bottle, zarr","Axial Base Junction Box LJ03A, RS03AXBS","Axial Base Junction Box LJ03A, RS03AXBS-LJ03A-12-CTDPFB301-streamed-ctdpf_optode_sample","axial_base_seafloor_fixed_20150101_20260803_1h_qf49_HITL_phadv, bottle_data"
-20445,10203,45.82959037,-129.7523331,144,"bottle, zarr","Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E, Axial Base Shallow Profiler, Axial Base Shallow Profiler - 150 m W, Axial Base Shallow Profiler - 250 m E, RS03AXPS","Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E, Axial Base Shallow Profiler, Axial Base Shallow Profiler - 150 m W, Axial Base Shallow Profiler - 250 m E, RS03AXPS-PC03A-4A-CTDPFA303-streamed-ctdpf_optode_sample, RS03AXPS-SF03A-2A-CTDPFA302-streamed-ctdpf_sbe43_sample","axial_base_fixed_20150101_20260708_1h_qf49_HITL, axial_base_profiles_20150107_20260604_qf49_HITL, axial_base_profiles_20150107_20260604_qf49_HITL_binned_24h, bottle_data"
-20444,10198,45.80713259,-129.7459865,1,bottle,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E","Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",bottle_data
-20444,10200,45.8161157,-129.7459865,1,bottle,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E","Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",bottle_data
-20444,10202,45.82509881,-129.7459865,54,bottle,Axial Base Shallow Profiler,Axial Base Shallow Profiler,bottle_data
-20444,10203,45.82959037,-129.7459865,282,bottle,"Axial Base Deep Profiler - 1000 m E, Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E, Axial Base Shallow Profiler - 500 m E","Axial Base Deep Profiler - 1000 m E, Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E, Axial Base Shallow Profiler - 500 m E",bottle_data
-20444,10204,45.83408193,-129.7459865,29,bottle,Axial Base Shallow Profiler,Axial Base Shallow Profiler,bottle_data
-20443,10202,45.82509881,-129.7396399,1,bottle,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E","Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",bottle_data
-20443,10203,45.82959037,-129.7396399,52,bottle,Axial Base Deep Profiler - 1000 m E,Axial Base Deep Profiler - 1000 m E,bottle_data
-19847,9880,44.37881782,-125.9570876,30,bottle,Oregon Offshore Shallow Profiler - 250 m E,Oregon Offshore Shallow Profiler - 250 m E,bottle_data
-19761,9907,44.50008983,-125.4112831,5,bottle,"Slope Base Junction Box LJ01A, Slope Base Shallow Profiler","Slope Base Junction Box LJ01A, Slope Base Shallow Profiler",bottle_data
