latitude,longitude,station_name,source_file
45.8295,-129.74617,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",Cabled-10_AT4212_Discrete_Summary.csv
45.8295,-129.74617,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",Cabled-10_AT4212_Discrete_Summary.csv
45.8295,-129.74617,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",Cabled-10_AT4212_Discrete_Summary.csv
45.8295,-129.74617,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",Cabled-10_AT4212_Discrete_Summary.csv
45.8295,-129.74617,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",Cabled-10_AT4212_Discrete_Summary.csv
45.8295,-129.74617,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.529,-125.39283,Slope Base Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.529,-125.39283,Slope Base Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.529,-125.39283,Slope Base Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.529,-125.39283,Slope Base Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.529,-125.39283,Slope Base Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.529,-125.39283,Slope Base Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.529,-125.39283,Slope Base Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.529,-125.39283,Slope Base Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.529,-125.39283,Slope Base Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.529,-125.39283,Slope Base Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.529,-125.39283,Slope Base Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.529,-125.39283,Slope Base Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.529,-125.39283,Slope Base Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.529,-125.39283,Slope Base Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.529,-125.39283,Slope Base Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.529,-125.39283,Slope Base Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
44.37417,-124.95967,Oregon Offshore Shallow Profiler - 250 m W,Cabled-10_AT4212_Discrete_Summary.csv
45.82967,-129.74633,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",Cabled-10_AT4212_Discrete_Summary.csv
45.82967,-129.74633,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",Cabled-10_AT4212_Discrete_Summary.csv
45.82967,-129.74633,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",Cabled-10_AT4212_Discrete_Summary.csv
45.82967,-129.74633,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",Cabled-10_AT4212_Discrete_Summary.csv
45.82967,-129.74633,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",Cabled-10_AT4212_Discrete_Summary.csv
45.82967,-129.74633,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",Cabled-10_AT4212_Discrete_Summary.csv
45.82967,-129.74633,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",Cabled-10_AT4212_Discrete_Summary.csv
45.82967,-129.74633,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",Cabled-10_AT4212_Discrete_Summary.csv
45.82967,-129.74633,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",Cabled-10_AT4212_Discrete_Summary.csv
45.82967,-129.74633,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",Cabled-10_AT4212_Discrete_Summary.csv
45.82967,-129.74633,"Axial Base Deep Profiler - 1000 m E,Axial Base Shallow Profiler - 550 m E",Cabled-10_AT4212_Discrete_Summary.csv
