latitude,longitude,source_file,station_name
45.83033,-129.75533,CEAbottle_Unique_Counts.csv,
45.83033,-129.75533,CEAbottle_Unique_Counts.csv,
45.83033,-129.75533,CEAbottle_Unique_Counts.csv,
45.83033,-129.75533,CEAbottle_Unique_Counts.csv,
45.83033,-129.75533,CEAbottle_Unique_Counts.csv,
45.83033,-129.75533,CEAbottle_Unique_Counts.csv,
45.83033,-129.75533,CEAbottle_Unique_Counts.csv,
45.83033,-129.75533,CEAbottle_Unique_Counts.csv,
45.83033,-129.75533,CEAbottle_Unique_Counts.csv,
45.83033,-129.75533,CEAbottle_Unique_Counts.csv,
45.83033,-129.75533,CEAbottle_Unique_Counts.csv,
45.83033,-129.75533,CEAbottle_Unique_Counts.csv,
45.83033,-129.75533,CEAbottle_Unique_Counts.csv,
45.83033,-129.75533,CEAbottle_Unique_Counts.csv,
45.83033,-129.75533,CEAbottle_Unique_Counts.csv,
45.83033,-129.75533,CEAbottle_Unique_Counts.csv,
45.83033,-129.75533,CEAbottle_Unique_Counts.csv,
45.83043,-129.75319,CEAbottle_Unique_Counts.csv,
45.83043,-129.7532,CEAbottle_Unique_Counts.csv,
45.83045,-129.75319,CEAbottle_Unique_Counts.csv,
45.83045,-129.75323,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
44.52883,-125.39183,CEAbottle_Unique_Counts.csv,
